unique_identifier,source_unique_identifier,open_mic,venue_name,location,neighborhood,city,day,day_of_week,frequency,frequency_custom_text,schedule_occurrence,start_time,start_time_24h,latest_end_time,cost,stage_time,signup_method,signup_url,signup_enabled,sign_up_instructions,hosts_organizers,instagram_handle,status,active,other_rules,changes_updates,source_file,source_row_number,import_batch,city_slug,venue_slug,mic_slug
shakespeare-s-mic-shakespeare-s-monday-11-00-pm,shakespeare-s-mic-shakespeare-s-monday-11-00-pm,Shakespeare's Mic,Shakespeare's,314 E. 6th Street,Downtown Austin,Austin,Monday,1,weekly,,weekly,11:00 PM,23:00:00,,Free,,in_person,,false,Sign-up in person by 9 PM. DO NOT approach host with mic queries during any showcase.,@laurenn.allennn,,pending,true,Late night mic. If a showcase is running do not interrupt host.,,austin_mics.csv,12,austin-mics-2026-08-20,austin,shakespeare-s,shakespeare-s-mic
gimmick-mic-creek-and-cave-monday-12-00-am,gimmick-mic-creek-and-cave-monday-12-00-am,Gimmick Mic,Creek and Cave,611 E 7th Street,East Austin,Austin,Monday,1,weekly,,weekly,12:00 AM,00:00:00,,Free,2 min,in_person,,false,Sign-up in person by 11:30 PM.,@yoelfat,@creekandcave,verified,true,2 min sets; 3 min if you perform a gimmick.,,austin_mics.csv,13,austin-mics-2026-08-20,austin,creek-and-cave,gimmick-mic
java-and-jokes-sunset-strip-atx-tuesday-4-00-pm,java-and-jokes-sunset-strip-atx-tuesday-4-00-pm,Java and Jokes,Sunset Strip ATX,214 E 6th Street,Downtown Austin,Austin,Tuesday,2,weekly,,weekly,4:00 PM,16:00:00,,Free,,in_person,,false,Sign-up in person by 3:30 PM.,,@sunsetstripatx,pending,true,,,austin_mics.csv,14,austin-mics-2026-08-20,austin,sunset-strip-atx,java-and-jokes
dunk-tank-creek-and-cave-tuesday-6-00-pm,dunk-tank-creek-and-cave-tuesday-6-00-pm,Dunk Tank,Creek and Cave,611 E 7th Street,East Austin,Austin,Tuesday,2,weekly,,weekly,6:00 PM,18:00:00,,Free,3 min,in_person,,false,Sign-up in person by 5:30 PM. 12 bucket pull spots.,@danelyon_,@creekandcave,verified,true,12 bucket pull spots. 3 min sets.,,austin_mics.csv,15,austin-mics-2026-08-20,austin,creek-and-cave,dunk-tank
lake-mic-lake-mic-atx-tuesday-7-00-pm,lake-mic-lake-mic-atx-tuesday-7-00-pm,Lake Mic,Lake Mic ATX,1311 South 1st Street,South Austin,Austin,Tuesday,2,weekly,,weekly,7:00 PM,19:00:00,,Free,,in_person,,false,Sign-up at 6:30 PM.,@sethchvz,@lakemicatx,verified,true,,,austin_mics.csv,16,austin-mics-2026-08-20,austin,lake-mic-atx,lake-mic
outlaw-comedy-mic-bouldin-acres-menchaca-tuesday-7-00-pm,outlaw-comedy-mic-bouldin-acres-menchaca-tuesday-7-00-pm,Outlaw Comedy Mic,Bouldin Acres (Menchaca),10400 Menchaca Rd,South Austin,Austin,Tuesday,2,weekly,,weekly,7:00 PM,19:00:00,,Free,,in_person,,false,Sign-up in person by 6:30 PM.,,@bouldinacres,pending,true,Third Bouldin Acres location — NOT the original on South Lamar.,Address is 10400 Menchaca Rd — third BA location.,austin_mics.csv,17,austin-mics-2026-08-20,austin,bouldin-acres-menchaca,outlaw-comedy-mic
cherrywood-mic-cherrywood-coffeehouse-tuesday-7-00-pm,cherrywood-mic-cherrywood-coffeehouse-tuesday-7-00-pm,Cherrywood Mic,Cherrywood Coffeehouse,1400 E 38th 1/2 St,North Austin,Austin,Tuesday,2,weekly,,weekly,7:00 PM,19:00:00,,Free,,in_person,,false,Walk-in from 7 PM.,@brandon.laca,,pending,true,,,austin_mics.csv,18,austin-mics-2026-08-20,austin,cherrywood-coffeehouse,cherrywood-mic
jokes-and-dragons-mage-s-sanctum-tuesday-8-00-pm,jokes-and-dragons-mage-s-sanctum-tuesday-8-00-pm,Jokes & Dragons,Mage's Sanctum,3924 Woodbury Drive,North Austin,Austin,Tuesday,2,weekly,,weekly,8:00 PM,20:00:00,,Free,5 min,in_person,,false,Sign-up in person by 7:30 PM.,,@magessanctum,pending,true,5 min sets.,,austin_mics.csv,19,austin-mics-2026-08-20,austin,mage-s-sanctum,jokes-and-dragons
cap-city-comedy-open-mic-cap-city-comedy-club-tuesday-time-tbd,cap-city-comedy-open-mic-cap-city-comedy-club-tuesday-time-tbd,Cap City Comedy Open Mic,Cap City Comedy Club,11506 Century Oaks Terrace,North Austin,Austin,Tuesday,2,weekly,,weekly,,,,Free,,online,,false,Online sign-up at capcitycomedy.com/pages/open-mic-night.,,@capcitycomedy,pending,true,Online signup required. Check site for current schedule. Off until 4/21 then returning.,Resuming 4/21. Online and in-person spots.,austin_mics.csv,20,austin-mics-2026-08-20,austin,cap-city-comedy-club,cap-city-comedy-open-mic
merit-based-open-mic-double-trouble-tuesday-7-00-pm,merit-based-open-mic-double-trouble-tuesday-7-00-pm,Merit Based Open Mic,Double Trouble,103 E North Loop,North Austin,Austin,Tuesday,2,2nd_of_month,,2nd,7:00 PM,19:00:00,,Free,,online,,false,Sign-up via Google doc (link at @deicomedy or their highlights).,@deicomedy,,pending,true,Runs on 2nd Tuesdays only.,,austin_mics.csv,21,austin-mics-2026-08-20,austin,double-trouble,merit-based-open-mic
the-challenge-mic-shooter-s-atx-tuesday-8-00-pm,the-challenge-mic-shooter-s-atx-tuesday-8-00-pm,The Challenge Mic,Shooter's ATX,11416 N FM 620,North Austin,Austin,Tuesday,2,weekly,,weekly,8:00 PM,20:00:00,,Free,4 min,in_person,,false,Sign-up in person by 7:45 PM.,"@malcolmshatterhand, @nicktibbitscomedy",@shootersatx,pending,true,4 min sets.,,austin_mics.csv,22,austin-mics-2026-08-20,austin,shooter-s-atx,the-challenge-mic
anderson-mill-mic-anderson-mill-tuesday-10-00-pm,anderson-mill-mic-anderson-mill-tuesday-10-00-pm,Anderson Mill Mic,Anderson Mill,10401 Anderson Mill Road,North Austin,Austin,Tuesday,2,weekly,,weekly,10:00 PM,22:00:00,,Free,,in_person,,false,Sign-up in person at 9:30 PM. FCFS. No cap.,"@don__armon, @a_knight_of_comedy",,pending,true,FCFS. No cap.,,austin_mics.csv,23,austin-mics-2026-08-20,austin,anderson-mill,anderson-mill-mic
hood-therapy-creek-and-cave-tuesday-12-00-am,hood-therapy-creek-and-cave-tuesday-12-00-am,Hood Therapy,Creek and Cave,611 West 7th Street,East Austin,Austin,Tuesday,2,weekly,,weekly,12:00 AM,00:00:00,,Free,,in_person,,false,Sign-up in person by 11:30 PM.,@xaviercardonaofficial,@creekandcave,pending,true,,,austin_mics.csv,24,austin-mics-2026-08-20,austin,creek-and-cave,hood-therapy
the-laughing-dead-wake-the-dead-coffeehouse-tuesday-7-30-pm,the-laughing-dead-wake-the-dead-coffeehouse-tuesday-7-30-pm,The Laughing Dead,Wake the Dead Coffeehouse,1432 Old Ranch Rd 12,San Marcos,San Marcos,Tuesday,2,weekly,,weekly,7:30 PM,19:30:00,,Free,,in_person,,false,Sign-up in person by 7 PM.,@eisme247,@wakethedeadcoffeehouse,pending,true,,,austin_mics.csv,25,austin-mics-2026-08-20,san-marcos,wake-the-dead-coffeehouse,the-laughing-dead
off-the-cuff-improv-riff-mic-creek-and-cave-wednesday-6-00-pm,off-the-cuff-improv-riff-mic-creek-and-cave-wednesday-6-00-pm,Off The Cuff Improv/Riff Mic,Creek and Cave,611 E 7th Street,East Austin,Austin,Wednesday,3,weekly,,weekly,6:00 PM,18:00:00,,Free,,in_person,,false,Sign-up in person by 5:30 PM.,,@creekandcave,pending,true,Improv and riff format mic.,,austin_mics.csv,26,austin-mics-2026-08-20,austin,creek-and-cave,off-the-cuff-improv-riff-mic
delilah-s-front-porch-open-mic-delilah-s-front-porch-wednesday-6-00-pm,delilah-s-front-porch-open-mic-delilah-s-front-porch-wednesday-6-00-pm,Delilah's Front Porch Open Mic,Delilah's Front Porch,830 Airport Blvd,North Austin,Austin,Wednesday,3,weekly,,weekly,6:00 PM,18:00:00,,Free,,in_person,,false,Sign-up in person by 5:30 PM. BYOB.,@erikgampick,@delilahsfrontporch,pending,true,Variety mic. Comedy/Poetry = 4 min. Music = 2 songs. BYOB.,,austin_mics.csv,27,austin-mics-2026-08-20,austin,delilah-s-front-porch,delilah-s-front-porch-open-mic
tag-writing-mic-2-lucky-duck-atx-wednesday-6-30-pm,tag-writing-mic-2-lucky-duck-atx-wednesday-6-30-pm,Tag Writing Mic 2,Lucky Duck ATX,1300 East 6th Street,East Austin,Austin,Wednesday,3,weekly,,weekly,6:30 PM,18:30:00,,Free,,in_person,,false,Bucket sign-up.,,@theluckyduckatx,pending,true,Tag writing format mic at Lucky Duck.,,austin_mics.csv,28,austin-mics-2026-08-20,austin,lucky-duck-atx,tag-writing-mic-2
open-mic-at-lucky-duck-lucky-duck-atx-wednesday-8-00-pm,open-mic-at-lucky-duck-lucky-duck-atx-wednesday-8-00-pm,Open Mic at Lucky Duck,Lucky Duck ATX,1300 E 6th Street,East Austin,Austin,Wednesday,3,weekly,,weekly,8:00 PM,20:00:00,,Free,,in_person,,false,Sign-up at 8 PM. Ends 10:30.,@themobschaub,@theluckyduckatx,pending,true,Ends at 10:30 PM.,,austin_mics.csv,29,austin-mics-2026-08-20,austin,lucky-duck-atx,open-mic-at-lucky-duck
east-side-open-mic-rozco-s-comedy-club-wednesday-8-00-pm,east-side-open-mic-rozco-s-comedy-club-wednesday-8-00-pm,East Side Open Mic,Rozco's Comedy Club,1805 East 7th Street,East Austin,Austin,Wednesday,3,weekly,,weekly,8:00 PM,20:00:00,,Free,,other,,false,20 online spots (link in highlights) + 20 FCFS in-person. FCFS SU at 7:30 PM.,,@rozcoscomedyclub,pending,true,20 online + 20 FCFS in-person spots.,,austin_mics.csv,30,austin-mics-2026-08-20,austin,rozco-s-comedy-club,east-side-open-mic
king-of-the-creek-creek-and-cave-wednesday-time-tbd-2nd,king-of-the-creek-creek-and-cave-wednesday-time-tbd,King of the Creek,Creek and Cave,611 E 7th Street,East Austin,Austin,Wednesday,3,2nd_of_month,4 bucket pulls compete against 4 headliners for cash prize. Runs every 2nd and 4th Wednesday.,2nd,,,,Free,,in_person,,false,Sign-up by 10 PM night of show.,,@creekandcave,pending,true,4 bucket pulls compete against 4 headliners for cash prize. Runs every 2nd and 4th Wednesday.,Two records needed — 2nd and 4th Wednesday.,austin_mics.csv,31,austin-mics-2026-08-20,austin,creek-and-cave,king-of-the-creek
king-of-the-creek-creek-and-cave-wednesday-time-tbd-4th,king-of-the-creek-creek-and-cave-wednesday-time-tbd,King of the Creek,Creek and Cave,611 E 7th Street,East Austin,Austin,Wednesday,3,4th_of_month,4 bucket pulls compete against 4 headliners for cash prize. Runs every 2nd and 4th Wednesday.,4th,,,,Free,,in_person,,false,Sign-up by 10 PM night of show.,,@creekandcave,pending,true,4 bucket pulls compete against 4 headliners for cash prize. Runs every 2nd and 4th Wednesday.,Two records needed — 2nd and 4th Wednesday.,austin_mics.csv,31,austin-mics-2026-08-20,austin,creek-and-cave,king-of-the-creek
creek-and-cave-midnight-mic-creek-and-cave-wednesday-12-00-am,creek-and-cave-midnight-mic-creek-and-cave-wednesday-12-00-am,Creek and Cave Midnight Mic,Creek and Cave,611 E 7th Street,East Austin,Austin,Wednesday,3,weekly,,weekly,12:00 AM,00:00:00,,Free,,in_person,,false,Sign-up in person by 11:30 PM.,@hunterparkercomedy,@creekandcave,pending,true,,,austin_mics.csv,32,austin-mics-2026-08-20,austin,creek-and-cave,creek-and-cave-midnight-mic
java-and-jokes-sunset-strip-atx-thursday-4-00-pm,java-and-jokes-sunset-strip-atx-thursday-4-00-pm,Java and Jokes,Sunset Strip ATX,214 E 6th Street,Downtown Austin,Austin,Thursday,4,weekly,,weekly,4:00 PM,16:00:00,,Free,,in_person,,false,Walk-in.,,@sunsetstripatx,pending,true,,,austin_mics.csv,33,austin-mics-2026-08-20,austin,sunset-strip-atx,java-and-jokes
bear-arms-creek-and-cave-thursday-6-00-pm,bear-arms-creek-and-cave-thursday-6-00-pm,Bear Arms,Creek and Cave,611 E 7th Street,East Austin,Austin,Thursday,4,weekly,,weekly,6:00 PM,18:00:00,,Free,3-4 min,in_person,,false,Sign-up in person by 5:45 PM.,@robert.h.may,@creekandcave,pending,true,3–4 min sets.,,austin_mics.csv,34,austin-mics-2026-08-20,austin,creek-and-cave,bear-arms
oribellos-open-mic-oribellos-thursday-7-30-pm,oribellos-open-mic-oribellos-thursday-7-30-pm,Oribellos Open Mic,Oribellos,519 W 37th Street,Central Austin,Austin,Thursday,4,weekly,,weekly,7:30 PM,19:30:00,,Free,,in_person,,false,Sign-up in person by 6:30 PM.,,@oribellos.atx,pending,true,,,austin_mics.csv,35,austin-mics-2026-08-20,austin,oribellos,oribellos-open-mic
the-grind-variety-mic-gnar-bar-thursday-8-00-pm,the-grind-variety-mic-gnar-bar-thursday-8-00-pm,The Grind Variety Mic,Gnar Bar,219 East 6th Street,Downtown Austin,Austin,Thursday,4,weekly,,weekly,8:00 PM,20:00:00,,Free,,in_person,,false,Walk-in.,@katerz_gonna_kate,,pending,true,Do NOT start the list without the host present.,,austin_mics.csv,36,austin-mics-2026-08-20,austin,gnar-bar,the-grind-variety-mic
biggest-laughs-tiniest-bar-in-texas-thursday-8-00-pm,biggest-laughs-tiniest-bar-in-texas-thursday-8-00-pm,Biggest Laughs,Tiniest Bar in Texas,817 W 5th Street,Downtown Austin,Austin,Thursday,4,weekly,,weekly,8:00 PM,20:00:00,,Free,,in_person,,false,Sign-up in person at 7:30 PM.,@iamsymplycourtney,@tiniestbarintexas,pending,true,,,austin_mics.csv,37,austin-mics-2026-08-20,austin,tiniest-bar-in-texas,biggest-laughs
on-the-clip-show-anis-day-and-night-thursday-9-00-pm,on-the-clip-show-anis-day-and-night-thursday-9-00-pm,ON! The Clip Show,Anis Day and Night,7107 Riverside Dr,Southeast Austin,Austin,Thursday,4,weekly,,weekly,9:00 PM,21:00:00,,Free,,in_person,,false,Sign-up in person by 8 PM.,@charliegcomedy,@anisdayandnight,pending,true,Clip show format.,Running 9–10 PM.,austin_mics.csv,38,austin-mics-2026-08-20,austin,anis-day-and-night,on-the-clip-show
ivape-mic-ivape-thursday-10-30-pm,ivape-mic-ivape-thursday-10-30-pm,IVAPE Mic,IVAPE,2508 S Guadalupe,South Austin,Austin,Thursday,4,weekly,,weekly,10:30 PM,22:30:00,,Free,,in_person,,false,Sign-up in person by 10 PM.,,,pending,true,,,austin_mics.csv,39,austin-mics-2026-08-20,austin,ivape,ivape-mic
word-up-creek-and-cave-thursday-12-00-am,word-up-creek-and-cave-thursday-12-00-am,WORD UP!,Creek and Cave,611 7th Street,East Austin,Austin,Thursday,4,weekly,,weekly,12:00 AM,00:00:00,,Free,,in_person,,false,Sign-up in person by 11:30 PM.,@jordynlaruea,@creekandcave,pending,true,,,austin_mics.csv,40,austin-mics-2026-08-20,austin,creek-and-cave,word-up
coldtowne-late-mic-coldtowne-theater-friday-10-00-pm,coldtowne-late-mic-coldtowne-theater-friday-10-00-pm,ColdTowne Late Mic,ColdTowne Theater,,,Austin,Friday,5,weekly,,weekly,10:00 PM,22:00:00,,Free,,in_person,,false,Walk-in.,,,pending,true,,,austin_mics.csv,41,austin-mics-2026-08-20,austin,coldtowne-theater,coldtowne-late-mic
tag-writing-mic-3-sunset-strip-atx-sunday-4-00-pm,tag-writing-mic-3-sunset-strip-atx-sunday-4-00-pm,Tag Writing Mic 3,Sunset Strip ATX,,Downtown Austin,Austin,Sunday,0,weekly,,weekly,4:00 PM,16:00:00,,Free,,online,,false,Online sign-up (link in highlights). SU window 4:00–5:29 PM.,"@themobschaub, @itstabet",@sunsetstripatx,verified,true,Bucket pull format. Sign-up list posted in slides.,,austin_mics.csv,42,austin-mics-2026-08-20,austin,sunset-strip-atx,tag-writing-mic-3
spoken-heard-kick-butt-coffee-sunday-7-00-pm,spoken-heard-kick-butt-coffee-sunday-7-00-pm,Spoken + Heard,Kick Butt Coffee,,East Austin,Austin,Sunday,0,weekly,,weekly,7:00 PM,19:00:00,,Free,,in_person,,false,Sign-up in person by 6:45 PM.,,@kickbuttcoffee,verified,true,Open mic runs 7–10 PM. All genres welcome.,,austin_mics.csv,43,austin-mics-2026-08-20,austin,kick-butt-coffee,spoken-heard
laugh-now-cry-later-speed-mic-lustre-pearl-east-sunday-7-30-pm,laugh-now-cry-later-speed-mic-lustre-pearl-east-sunday-7-30-pm,Laugh Now Cry Later Speed Mic,Lustre Pearl East,114 Linden Street,East Austin,Austin,Sunday,0,weekly,,weekly,7:30 PM,19:30:00,,Free,2 min,other,,false,Sign-up in @laughnow_crylateratx comments or in person at 7 PM.,,,pending,true,2 minute speed mic format.,,austin_mics.csv,44,austin-mics-2026-08-20,austin,lustre-pearl-east,laugh-now-cry-later-speed-mic
anything-goes-mic-517-n-ih-35-sunday-6-30-pm,anything-goes-mic-517-n-ih-35-sunday-6-30-pm,Anything Goes Mic,517 N IH 35,517 N IH 35,East Austin,Austin,Sunday,0,weekly,,weekly,6:30 PM,18:30:00,,Free,,in_person,,false,Sign-up in person by 6 PM.,@vancertsatx,,pending,false,Unconfirmed as of 4/28 — may not be running.,,austin_mics.csv,45,austin-mics-2026-08-20,austin,517-n-ih-35,anything-goes-mic
wipeout-mic-219-east-6th-sunday-8-00-pm,wipeout-mic-219-east-6th-sunday-8-00-pm,Wipeout Mic,219 East 6th,219 East 6th Street,Downtown Austin,Austin,Sunday,0,weekly,,weekly,8:00 PM,20:00:00,,Free,,in_person,,false,Sign-up in person by 7:30 PM.,@ms.mignonnee,,pending,false,Unconfirmed as of 4/28 — may not be running.,,austin_mics.csv,46,austin-mics-2026-08-20,austin,219-east-6th,wipeout-mic
creek-mic-creek-and-cave-sunday-8-00-pm,creek-mic-creek-and-cave-sunday-8-00-pm,Creek Mic,Creek and Cave,611 E 7th Street,East Austin,Austin,Sunday,0,weekly,,weekly,8:00 PM,20:00:00,,Free,,online,,false,Email creekandcaveopenmic@gmail.com by Saturday.,,@creekandcave,verified,true,Signup by email only — closes Saturday before show.,,austin_mics.csv,47,austin-mics-2026-08-20,austin,creek-and-cave,creek-mic
gonga-line-east-austin-comedy-sunday-9-00-pm,gonga-line-east-austin-comedy-sunday-9-00-pm,GONGA Line,East Austin Comedy,2505 E 6th Street,East Austin,Austin,Sunday,0,weekly,,weekly,9:00 PM,21:00:00,,Free,2-6 min,in_person,,false,Sign-up in person by 8:45 PM.,@aaronscomedy,@eastaustincomedy,verified,true,Gong mic — 2 to 6 min sets based on how you do. Also runs Monday nights.,Also runs Monday nights at same location.,austin_mics.csv,48,austin-mics-2026-08-20,austin,east-austin-comedy,gonga-line
banana-phone-mic-creek-and-cave-sunday-10-00-pm,banana-phone-mic-creek-and-cave-sunday-10-00-pm,Banana Phone Mic,Creek and Cave,611 E 7th Street,East Austin,Austin,Sunday,0,weekly,,weekly,10:00 PM,22:00:00,,Free,,other,,false,Online SU (link in highlights) closes 4 PM Sunday. In-person bucket spots at 9:30 PM on back patio.,@chunkerknugget,@creekandcave,verified,true,Heckle mic. Do NOT DM for a spot.,,austin_mics.csv,49,austin-mics-2026-08-20,austin,creek-and-cave,banana-phone-mic
punchlines-at-the-porch-the-porch-smtx-sunday-8-00-pm-1st,punchlines-at-the-porch-the-porch-smtx-sunday-8-00-pm,Punchlines at the Porch,The Porch SMTX,129 Hopkins Street,San Marcos,San Marcos,Sunday,0,1st_of_month,Runs every 1st and 3rd Sunday 8–10 PM.,1st,8:00 PM,20:00:00,,Free,,in_person,,false,Walk-in from 8 PM.,@action__paxton,@theporchsmtx,pending,true,Runs every 1st and 3rd Sunday 8–10 PM.,,austin_mics.csv,50,austin-mics-2026-08-20,san-marcos,the-porch-smtx,punchlines-at-the-porch
punchlines-at-the-porch-the-porch-smtx-sunday-8-00-pm-3rd,punchlines-at-the-porch-the-porch-smtx-sunday-8-00-pm,Punchlines at the Porch,The Porch SMTX,129 Hopkins Street,San Marcos,San Marcos,Sunday,0,3rd_of_month,Runs every 1st and 3rd Sunday 8–10 PM.,3rd,8:00 PM,20:00:00,,Free,,in_person,,false,Walk-in from 8 PM.,@action__paxton,@theporchsmtx,pending,true,Runs every 1st and 3rd Sunday 8–10 PM.,,austin_mics.csv,50,austin-mics-2026-08-20,san-marcos,the-porch-smtx,punchlines-at-the-porch
the-martian-talent-show-the-porch-smtx-sunday-7-00-pm-2nd,the-martian-talent-show-the-porch-smtx-sunday-7-00-pm,The Martian Talent Show,The Porch SMTX,129 Hopkins Street,San Marcos,San Marcos,Sunday,0,2nd_of_month,Runs every 2nd and 4th Sunday 7–10 PM.,2nd,7:00 PM,19:00:00,,Free,,in_person,,false,Sign-up in person by 6 PM.,,@theporchsmtx,pending,true,Runs every 2nd and 4th Sunday 7–10 PM.,,austin_mics.csv,51,austin-mics-2026-08-20,san-marcos,the-porch-smtx,the-martian-talent-show
the-martian-talent-show-the-porch-smtx-sunday-7-00-pm-4th,the-martian-talent-show-the-porch-smtx-sunday-7-00-pm,The Martian Talent Show,The Porch SMTX,129 Hopkins Street,San Marcos,San Marcos,Sunday,0,4th_of_month,Runs every 2nd and 4th Sunday 7–10 PM.,4th,7:00 PM,19:00:00,,Free,,in_person,,false,Sign-up in person by 6 PM.,,@theporchsmtx,pending,true,Runs every 2nd and 4th Sunday 7–10 PM.,,austin_mics.csv,51,austin-mics-2026-08-20,san-marcos,the-porch-smtx,the-martian-talent-show
