open_mic,day,start_time,venue_name,location,neighborhood,city,cost,stage_time,sign_up_instructions,hosts_organizers,signup_method,status,frequency,active,other_rules,changes_updates,instagram_handle
Open Mic at Lucky Duck,Wednesday,8:00 PM,Lucky Duck ATX,1300 E 6th Street,East Austin,Austin,Free,,Sign-up at 8 PM. Ends 10:30.,@themobschaub,in_person,pending,weekly,true,Ends at 10:30 PM.,,@theluckyduckatx
East Side Open Mic,Wednesday,8:00 PM,Rozco's Comedy Club,1805 East 7th Street,East Austin,Austin,Free,,20 online spots (link in highlights) + 20 FCFS in-person. FCFS SU at 7:30 PM.,,other,pending,weekly,true,20 online + 20 FCFS in-person spots.,,@rozcoscomedyclub
King of the Creek,Wednesday,,,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,,Sign-up by 10 PM night of show.,,in_person,pending,2nd_of_month,true,4 bucket pulls compete against 4 headliners for cash prize. Runs every 2nd and 4th Wednesday.,Two records needed — 2nd and 4th Wednesday.,@creekandcave
Creek and Cave Midnight Mic,Wednesday,12:00 AM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,,Sign-up in person by 11:30 PM.,@hunterparkercomedy,in_person,pending,weekly,true,,,@creekandcave
Java and Jokes,Thursday,4:00 PM,Sunset Strip ATX,214 E 6th Street,Downtown Austin,Austin,Free,,Walk-in.,,in_person,pending,weekly,true,,,@sunsetstripatx
Bear Arms,Thursday,6:00 PM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,3-4 min,Sign-up in person by 5:45 PM.,@robert.h.may,in_person,pending,weekly,true,3–4 min sets.,,@creekandcave
Oribellos Open Mic,Thursday,7:30 PM,Oribellos,519 W 37th Street,Central Austin,Austin,Free,,Sign-up in person by 6:30 PM.,,in_person,pending,weekly,true,,,@oribellos.atx
The Grind Variety Mic,Thursday,8:00 PM,Gnar Bar,219 East 6th Street,Downtown Austin,Austin,Free,,Walk-in.,@katerz_gonna_kate,in_person,pending,weekly,true,Do NOT start the list without the host present.,,
Biggest Laughs,Thursday,8:00 PM,Tiniest Bar in Texas,817 W 5th Street,Downtown Austin,Austin,Free,,Sign-up in person at 7:30 PM.,@iamsymplycourtney,in_person,pending,weekly,true,,,@tiniestbarintexas
ON! The Clip Show,Thursday,9:00 PM,Anis Day and Night,7107 Riverside Dr,Southeast Austin,Austin,Free,,Sign-up in person by 8 PM.,@charliegcomedy,in_person,pending,weekly,true,Clip show format.,Running 9–10 PM.,@anisdayandnight
IVAPE Mic,Thursday,10:30 PM,IVAPE,2508 S Guadalupe,South Austin,Austin,Free,,Sign-up in person by 10 PM.,,in_person,pending,weekly,true,,,
WORD UP!,Thursday,12:00 AM,Creek and Cave,611 7th Street,East Austin,Austin,Free,,Sign-up in person by 11:30 PM.,@jordynlaruea,in_person,pending,weekly,true,,,@creekandcave
ColdTowne Late Mic,Friday,10:00 PM,ColdTowne Theater,,,Austin,Free,,Walk-in.,,in_person,pending,weekly,true,,,
Tag Writing Mic 3,Sunday,4:00 PM,Sunset Strip ATX,,Downtown Austin,Austin,Free,,Online sign-up (link in highlights). SU window 4:00–5:29 PM.,"@themobschaub, @itstabet",online,verified,weekly,true,Bucket pull format. Sign-up list posted in slides.,,@sunsetstripatx
Spoken + Heard,Sunday,7:00 PM,Kick Butt Coffee,,East Austin,Austin,Free,,Sign-up in person by 6:45 PM.,,in_person,verified,weekly,true,Open mic runs 7–10 PM. All genres welcome.,,@kickbuttcoffee
Laugh Now Cry Later Speed Mic,Sunday,7:30 PM,Lustre Pearl East,114 Linden Street,East Austin,Austin,Free,2 min,Sign-up in @laughnow_crylateratx comments or in person at 7 PM.,,other,pending,weekly,true,2 minute speed mic format.,,
Anything Goes Mic,Sunday,6:30 PM,517 N IH 35,517 N IH 35,East Austin,Austin,Free,,Sign-up in person by 6 PM.,@vancertsatx,in_person,pending,weekly,false,Unconfirmed as of 4/28 — may not be running.,,
Wipeout Mic,Sunday,8:00 PM,219 East 6th,219 East 6th Street,Downtown Austin,Austin,Free,,Sign-up in person by 7:30 PM.,@ms.mignonnee,in_person,pending,weekly,false,Unconfirmed as of 4/28 — may not be running.,,
Creek Mic,Sunday,8:00 PM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,,Email creekandcaveopenmic@gmail.com by Saturday.,, online,verified,weekly,true,Signup by email only — closes Saturday before show.,,@creekandcave
GONGA Line,Sunday,9:00 PM,East Austin Comedy,2505 E 6th Street,East Austin,Austin,Free,2-6 min,Sign-up in person by 8:45 PM.,@aaronscomedy,in_person,verified,weekly,true,Gong mic — 2 to 6 min sets based on how you do. Also runs Monday nights.,Also runs Monday nights at same location.,@eastaustincomedy
Banana Phone Mic,Sunday,10:00 PM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,,Online SU (link in highlights) closes 4 PM Sunday. In-person bucket spots at 9:30 PM on back patio.,@chunkerknugget,other,verified,weekly,true,Heckle mic. Do NOT DM for a spot.,,@creekandcave
Punchlines at the Porch,Sunday,8:00 PM,The Porch SMTX,129 Hopkins Street,San Marcos,San Marcos,Free,,Walk-in from 8 PM.,@action__paxton,in_person,pending,1st_of_month,true,Runs every 1st and 3rd Sunday 8–10 PM.,,@theporchsmtx
The Martian Talent Show,Sunday,7:00 PM,The Porch SMTX,129 Hopkins Street,San Marcos,San Marcos,Free,,Sign-up in person by 6 PM.,,in_person,pending,2nd_of_month,true,Runs every 2nd and 4th Sunday 7–10 PM.,,@theporchsmtx
